rank,number_of_citations,article_number,volume,year,doi_link
30,471,1039,20,2020,https://doi.org/10.1186/s12889-020-08749-8
31,471,1,13,2013,https://doi.org/10.1186/1471-2458-13-1
32,459,1255,14,2014,https://doi.org/10.1186/1471-2458-14-1255
33,455,1742,20,2020,https://doi.org/10.1186/s12889-020-09826-8
34,453,874,17,2017,https://doi.org/10.1186/s12889-017-4859-6
35,452,415,15,2015,https://doi.org/10.1186/s12889-015-1733-2
36,452,1,12,2012,https://doi.org/10.1186/1471-2458-12-1
37,449,565,20,2020,https://doi.org/10.1186/s12889-020-08498-8
38,446,756,13,2013,https://doi.org/10.1186/1471-2458-13-756
39,444,1431,19,2019,https://doi.org/10.1186/s12889-019-7762-5
40,432,80,16,2015,https://doi.org/10.1186/s12889-016-2747-0
41,431,1,15,2015,https://doi.org/10.1186/1471-2458-15-1
42,431,1144,14,2014,https://doi.org/10.1186/1471-2458-14-1144
43,418,683,17,2017,https://doi.org/10.1186/s12889-017-4691-z
44,413,115,16,2015,https://doi.org/10.1186/s12889-016-2720-y
45,409,1875,20,2020,https://doi.org/10.1186/s12889-020-09939-0
46,406,1,20,2020,https://doi.org/10.1186/s12889-019-7969-5
47,399,773,13,2013,https://doi.org/10.1186/1471-2458-13-773
48,394,657,16,2016,https://doi.org/10.1186/s12889-016-3373-6
49,391,1158,16,2016,https://doi.org/10.1186/s12889-016-3808-0
50,390,1,14,2014,https://doi.org/10.1186/1471-2458-14-1
51,386,854,17,2017,https://doi.org/10.1186/s12889-017-4860-0
52,384,975,18,2018,https://doi.org/10.1186/s12889-018-5806-x
53,384,130,15,2015,https://doi.org/10.1186/s12889-015-1360-y
54,382,1825,20,2020,https://doi.org/10.1186/s12889-020-09875-z
55,382,129,15,2015,https://doi.org/10.1186/s12889-015-1352-y
56,380,53,14,2014,https://doi.org/10.1186/1471-2458-14-53
57,375,804,21,2021,https://doi.org/10.1186/s12889-021-10816-7
58,373,125,18,2018,https://doi.org/10.1186/s12889-017-5016-y
59,372,296,13,2013,https://doi.org/10.1186/1471-2458-13-296
60,371,74,19,2019,https://doi.org/10.1186/s12889-019-6424-y
61,359,835,13,2013,https://doi.org/10.1186/1471-2458-13-835
62,354,231,19,2019,https://doi.org/10.1186/s12889-019-6546-2
63,348,1724,20,2020,https://doi.org/10.1186/s12889-020-09855-3
64,347,1327,20,2020,https://doi.org/10.1186/s12889-020-09411-z
65,346,1098,16,2016,https://doi.org/10.1186/s12889-016-3638-0
66,333,163,16,2016,https://doi.org/10.1186/s12889-016-2841-3
67,332,1015,21,2021,https://doi.org/10.1186/s12889-021-11111-1
68,332,1164,18,2018,https://doi.org/10.1186/s12889-018-6044-y
69,329,678,15,2015,https://doi.org/10.1186/s12889-015-2056-z
70,329,503,15,2015,https://doi.org/10.1186/s12889-015-1824-0
71,325,847,13,2013,https://doi.org/10.1186/1471-2458-13-847
72,325,220,13,2013,https://doi.org/10.1186/1471-2458-13-220
73,324,220,12,2012,https://doi.org/10.1186/1471-2458-12-220
74,321,676,16,2016,https://doi.org/10.1186/s12889-016-3272-x
75,320,742,15,2015,https://doi.org/10.1186/s12889-015-2109-3
76,318,242,12,2012,https://doi.org/10.1186/1471-2458-12-242
77,317,818,21,2021,https://doi.org/10.1186/s12889-021-10862-1
78,316,276,17,2017,https://doi.org/10.1186/s12889-017-4189-8
79,316,515,16,2016,https://doi.org/10.1186/s12889-016-3172-0
80,314,730,12,2012,https://doi.org/10.1186/1471-2458-12-730
81,308,869,17,2017,https://doi.org/10.1186/s12889-017-4867-6
82,306,525,15,2015,https://doi.org/10.1186/s12889-015-1867-2
83,305,147,14,2014,https://doi.org/10.1186/1471-2458-14-147
84,303,855,17,2017,https://doi.org/10.1186/s12889-017-4850-2
85,301,233,14,2014,https://doi.org/10.1186/1471-2458-14-233
86,299,1113,18,2018,https://doi.org/10.1186/s12889-018-5942-3
87,297,518,18,2018,https://doi.org/10.1186/s12889-018-5446-1
88,297,691,15,2015,https://doi.org/10.1186/s12889-015-1983-z
89,291,316,19,2019,https://doi.org/10.1186/s12889-019-6576-9
90,290,611,21,2021,https://doi.org/10.1186/s12889-021-10560-y
91,289,914,15,2015,https://doi.org/10.1186/s12889-015-2227-y
92,287,988,22,2022,https://doi.org/10.1186/s12889-022-13122-y
93,285,173,20,2020,https://doi.org/10.1186/s12889-020-8293-9
94,284,296,16,2016,https://doi.org/10.1186/s12889-016-2870-y
95,284,646,14,2014,https://doi.org/10.1186/1471-2458-14-646
96,283,292,14,2014,https://doi.org/10.1186/1471-2458-14-292
97,283,S8,14,2014,https://doi.org/10.1186/1471-2458-14-s3-s8
98,282,2088,21,2021,https://doi.org/10.1186/s12889-021-11906-2
99,281,457,15,2015,https://doi.org/10.1186/s12889-015-1781-7
100,280,1637,19,2019,https://doi.org/10.1186/s12889-019-7884-9
101,280,1015,13,2013,https://doi.org/10.1186/1471-2458-13-1015
102,279,66,15,2015,https://doi.org/10.1186/s12889-015-1429-7
103,279,305,13,2013,https://doi.org/10.1186/1471-2458-13-305
104,278,513,15,2015,https://doi.org/10.1186/s12889-015-1843-x
105,276,1778,22,2022,https://doi.org/10.1186/s12889-022-13943-x
106,275,961,21,2021,https://doi.org/10.1186/s12889-021-10961-z
107,275,1218,13,2013,https://doi.org/10.1186/1471-2458-13-1218
108,270,848,15,2015,https://doi.org/10.1186/s12889-015-2197-0
109,269,1,22,2022,https://doi.org/10.1186/s12889-021-12274-7
110,268,S20,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s20
111,267,1,21,2021,https://doi.org/10.1186/s12889-020-10013-y
112,263,623,14,2014,https://doi.org/10.1186/1471-2458-14-623
113,263,624,12,2012,https://doi.org/10.1186/1471-2458-12-624
114,262,201,15,2015,https://doi.org/10.1186/s12889-015-1553-4
115,259,900,13,2013,https://doi.org/10.1186/1471-2458-13-900
116,258,17,13,2013,https://doi.org/10.1186/1471-2458-13-17
117,257,868,17,2017,https://doi.org/10.1186/s12889-017-4849-8
118,255,807,12,2012,https://doi.org/10.1186/1471-2458-12-807
119,253,414,17,2017,https://doi.org/10.1186/s12889-017-4308-6
120,252,735,13,2013,https://doi.org/10.1186/1471-2458-13-735
121,252,82,13,2013,https://doi.org/10.1186/1471-2458-13-82
122,251,505,15,2015,https://doi.org/10.1186/s12889-015-1835-x
123,251,388,13,2013,https://doi.org/10.1186/1471-2458-13-388
124,250,118,15,2015,https://doi.org/10.1186/s12889-015-1483-1
125,249,361,17,2017,https://doi.org/10.1186/s12889-017-4267-y
126,249,751,14,2014,https://doi.org/10.1186/1471-2458-14-751
127,249,458,13,2013,https://doi.org/10.1186/1471-2458-13-458
128,248,1207,14,2014,https://doi.org/10.1186/1471-2458-14-1207
129,245,1059,23,2023,https://doi.org/10.1186/s12889-023-15958-4
130,242,753,21,2021,https://doi.org/10.1186/s12889-021-10630-1
131,242,1138,20,2020,https://doi.org/10.1186/s12889-020-09224-0
132,241,1039,16,2016,https://doi.org/10.1186/s12889-016-3712-7
133,240,503,17,2017,https://doi.org/10.1186/s12889-017-4375-8
134,238,356,17,2017,https://doi.org/10.1186/s12889-017-4255-2
135,237,1,18,2018,https://doi.org/10.1186/s12889-017-4524-0
136,236,776,15,2015,https://doi.org/10.1186/s12889-015-2008-7
137,234,14,14,2014,https://doi.org/10.1186/1471-2458-14-14
138,233,1072,13,2013,https://doi.org/10.1186/1471-2458-13-1072
139,228,1376,18,2018,https://doi.org/10.1186/s12889-018-6293-9
140,226,150,13,2013,https://doi.org/10.1186/1471-2458-13-150
141,225,135,14,2014,https://doi.org/10.1186/1471-2458-14-135
142,224,255,15,2015,https://doi.org/10.1186/s12889-015-1591-y
143,222,1059,19,2019,https://doi.org/10.1186/s12889-019-7407-8
144,222,574,18,2018,https://doi.org/10.1186/s12889-018-5484-8
145,220,704,12,2012,https://doi.org/10.1186/1471-2458-12-704
146,219,1524,19,2019,https://doi.org/10.1186/s12889-019-7904-9
147,219,689,17,2017,https://doi.org/10.1186/s12889-017-4695-8
148,219,943,14,2014,https://doi.org/10.1186/1471-2458-14-943
149,219,402,13,2013,https://doi.org/10.1186/1471-2458-13-402
150,217,660,19,2019,https://doi.org/10.1186/s12889-019-6943-6
151,216,223,17,2017,https://doi.org/10.1186/s12889-017-4129-7
152,216,331,14,2014,https://doi.org/10.1186/1471-2458-14-331
153,215,8,19,2019,https://doi.org/10.1186/s12889-018-6274-z
154,214,1230,20,2020,https://doi.org/10.1186/s12889-020-09322-z
155,214,1414,18,2018,https://doi.org/10.1186/s12889-018-6331-7
156,213,1415,20,2020,https://doi.org/10.1186/s12889-020-09502-x
157,213,342,18,2018,https://doi.org/10.1186/s12889-018-5235-x
158,213,S19,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s19
159,212,1286,19,2019,https://doi.org/10.1186/s12889-019-7609-0
160,210,1108,20,2020,https://doi.org/10.1186/s12889-020-09169-4
161,208,1049,18,2018,https://doi.org/10.1186/s12889-018-5934-3
162,208,751,12,2012,https://doi.org/10.1186/1471-2458-12-751
163,207,96,22,2022,https://doi.org/10.1186/s12889-021-12432-x
164,207,1648,20,2020,https://doi.org/10.1186/s12889-020-09738-7
165,207,1,19,2019,https://doi.org/10.1186/s12889-018-6343-3
166,206,1040,20,2020,https://doi.org/10.1186/s12889-020-08991-0
167,206,907,17,2017,https://doi.org/10.1186/s12889-017-4914-3
168,206,723,12,2012,https://doi.org/10.1186/1471-2458-12-723
169,205,724,13,2013,https://doi.org/10.1186/1471-2458-13-724
170,205,494,12,2012,https://doi.org/10.1186/1471-2458-12-494
171,204,295,21,2021,https://doi.org/10.1186/s12889-021-10285-y
172,204,1247,19,2019,https://doi.org/10.1186/s12889-019-7566-7
173,204,382,14,2014,https://doi.org/10.1186/1471-2458-14-382
174,204,1180,13,2013,https://doi.org/10.1186/1471-2458-13-1180
175,203,880,22,2022,https://doi.org/10.1186/s12889-022-13256-z
176,203,432,18,2018,https://doi.org/10.1186/s12889-018-5335-7
177,203,201,12,2012,https://doi.org/10.1186/1471-2458-12-201
178,202,40,17,2017,https://doi.org/10.1186/s12889-016-3986-9
179,202,675,16,2016,https://doi.org/10.1186/s12889-016-3352-y
180,202,993,12,2012,https://doi.org/10.1186/1471-2458-12-993
181,201,1054,19,2019,https://doi.org/10.1186/s12889-019-7387-8
182,201,337,12,2012,https://doi.org/10.1186/1471-2458-12-337
183,200,309,17,2017,https://doi.org/10.1186/s12889-017-4210-2
184,199,975,16,2016,https://doi.org/10.1186/s12889-016-3621-9
185,199,466,12,2012,https://doi.org/10.1186/1471-2458-12-466
186,198,nan,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s1
187,196,41,15,2015,https://doi.org/10.1186/s12889-015-1370-9
188,196,629,13,2013,https://doi.org/10.1186/1471-2458-13-629
189,195,607,21,2021,https://doi.org/10.1186/s12889-021-10631-0
190,194,726,20,2020,https://doi.org/10.1186/s12889-020-08715-4
191,193,700,14,2014,https://doi.org/10.1186/1471-2458-14-700
192,193,380,12,2012,https://doi.org/10.1186/1471-2458-12-380
193,192,1344,18,2018,https://doi.org/10.1186/s12889-018-6250-7
194,192,568,13,2013,https://doi.org/10.1186/1471-2458-13-568
195,191,89,21,2021,https://doi.org/10.1186/s12889-020-10103-x
196,189,806,14,2014,https://doi.org/10.1186/1471-2458-14-806
197,187,701,13,2013,https://doi.org/10.1186/1471-2458-13-701
198,186,358,19,2019,https://doi.org/10.1186/s12889-019-6688-2
199,186,321,18,2018,https://doi.org/10.1186/s12889-018-5220-4
200,186,789,14,2014,https://doi.org/10.1186/1471-2458-14-789
201,184,811,21,2021,https://doi.org/10.1186/s12889-021-10897-4
202,184,1751,20,2020,https://doi.org/10.1186/s12889-020-09892-y
203,184,829,17,2017,https://doi.org/10.1186/s12889-017-4854-y
204,184,53,15,2015,https://doi.org/10.1186/s12889-015-1391-4
205,184,686,14,2014,https://doi.org/10.1186/1471-2458-14-686
206,183,987,18,2018,https://doi.org/10.1186/s12889-018-5932-5
207,183,654,17,2017,https://doi.org/10.1186/s12889-017-4623-y
208,183,583,17,2017,https://doi.org/10.1186/s12889-017-4497-z
209,183,920,13,2013,https://doi.org/10.1186/1471-2458-13-920
210,183,613,13,2013,https://doi.org/10.1186/1471-2458-13-613
211,182,111,16,2016,https://doi.org/10.1186/s12889-016-2766-x
212,182,390,15,2015,https://doi.org/10.1186/s12889-015-1617-5
213,181,489,14,2014,https://doi.org/10.1186/1471-2458-14-489
214,181,161,14,2014,https://doi.org/10.1186/1471-2458-14-161
215,181,S13,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s13
216,181,577,12,2012,https://doi.org/10.1186/1471-2458-12-577
217,180,1712,19,2019,https://doi.org/10.1186/s12889-019-8029-x
218,180,S2,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s2
219,178,1213,21,2021,https://doi.org/10.1186/s12889-021-11040-z
220,178,669,16,2016,https://doi.org/10.1186/s12889-016-3339-8
221,177,909,18,2018,https://doi.org/10.1186/s12889-018-5834-6
222,177,639,18,2018,https://doi.org/10.1186/s12889-018-5472-z
223,177,624,17,2017,https://doi.org/10.1186/s12889-017-4540-0
224,177,1030,14,2014,https://doi.org/10.1186/1471-2458-14-1030
225,176,1885,20,2020,https://doi.org/10.1186/s12889-020-09980-z
226,176,1596,20,2020,https://doi.org/10.1186/s12889-020-09639-9
227,176,1093,19,2019,https://doi.org/10.1186/s12889-019-7416-7
228,176,1118,14,2014,https://doi.org/10.1186/1471-2458-14-1118
229,176,940,13,2013,https://doi.org/10.1186/1471-2458-13-940
230,176,594,12,2012,https://doi.org/10.1186/1471-2458-12-594
231,175,778,18,2018,https://doi.org/10.1186/s12889-018-5653-9
232,175,453,16,2016,https://doi.org/10.1186/s12889-016-3110-1
233,175,767,15,2015,https://doi.org/10.1186/s12889-015-2106-6
234,174,1310,19,2019,https://doi.org/10.1186/s12889-019-7707-z
235,174,1031,12,2012,https://doi.org/10.1186/1471-2458-12-1031
236,173,513,20,2020,https://doi.org/10.1186/s12889-020-08587-8
237,173,1089,15,2015,https://doi.org/10.1186/s12889-015-2426-6
238,173,239,15,2015,https://doi.org/10.1186/s12889-015-1552-5
239,173,694,14,2014,https://doi.org/10.1186/1471-2458-14-694
240,173,S18,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s18
241,172,832,19,2019,https://doi.org/10.1186/s12889-019-7136-z
242,172,983,17,2017,https://doi.org/10.1186/s12889-017-4987-z
243,172,1211,15,2015,https://doi.org/10.1186/s12889-015-2546-z
244,172,696,15,2015,https://doi.org/10.1186/s12889-015-2052-3
245,170,1589,20,2020,https://doi.org/10.1186/s12889-020-09695-1
246,170,1518,20,2020,https://doi.org/10.1186/s12889-020-09572-x
247,170,1095,14,2014,https://doi.org/10.1186/1471-2458-14-1095
248,170,52,13,2013,https://doi.org/10.1186/1471-2458-13-52
249,169,1659,22,2022,https://doi.org/10.1186/s12889-022-13971-7
250,169,1255,20,2020,https://doi.org/10.1186/s12889-020-09323-y
251,169,636,19,2019,https://doi.org/10.1186/s12889-019-6877-z
252,169,1239,16,2016,https://doi.org/10.1186/s12889-016-3901-4
253,169,433,16,2016,https://doi.org/10.1186/s12889-016-3059-0
254,169,516,15,2015,https://doi.org/10.1186/s12889-015-1851-x
255,169,715,12,2012,https://doi.org/10.1186/1471-2458-12-715
256,168,755,19,2019,https://doi.org/10.1186/s12889-019-7049-x
257,168,1151,16,2016,https://doi.org/10.1186/s12889-016-3810-6
258,168,719,14,2014,https://doi.org/10.1186/1471-2458-14-719
259,168,16,13,2013,https://doi.org/10.1186/1471-2458-13-16
260,167,919,18,2018,https://doi.org/10.1186/s12889-018-5861-3
261,167,849,17,2017,https://doi.org/10.1186/s12889-017-4851-1
262,167,1,17,2017,https://doi.org/10.1186/s12889-016-3954-4
263,167,464,13,2013,https://doi.org/10.1186/1471-2458-13-464
264,166,985,15,2015,https://doi.org/10.1186/s12889-015-2313-1
265,166,585,15,2015,https://doi.org/10.1186/s12889-015-1947-3
266,166,582,15,2015,https://doi.org/10.1186/s12889-015-1935-7
267,165,880,15,2015,https://doi.org/10.1186/s12889-015-2206-3
268,165,1224,14,2014,https://doi.org/10.1186/1471-2458-14-1224
269,165,389,14,2014,https://doi.org/10.1186/1471-2458-14-389
270,165,1068,13,2013,https://doi.org/10.1186/1471-2458-13-1068
271,165,130,12,2012,https://doi.org/10.1186/1471-2458-12-130
272,164,765,18,2018,https://doi.org/10.1186/s12889-018-5695-z
273,164,301,12,2012,https://doi.org/10.1186/1471-2458-12-301
274,163,1596,22,2022,https://doi.org/10.1186/s12889-022-13887-2
275,163,209,22,2022,https://doi.org/10.1186/s12889-022-12590-6
276,163,1676,19,2019,https://doi.org/10.1186/s12889-019-8033-1
277,163,1002,18,2018,https://doi.org/10.1186/s12889-018-5930-7
278,163,632,18,2018,https://doi.org/10.1186/s12889-018-5526-2
279,162,777,18,2018,https://doi.org/10.1186/s12889-018-5689-x
280,162,857,17,2017,https://doi.org/10.1186/s12889-017-4858-7
281,162,138,17,2017,https://doi.org/10.1186/s12889-016-3983-z
282,162,222,16,2016,https://doi.org/10.1186/s12889-016-2906-3
283,162,72,12,2012,https://doi.org/10.1186/1471-2458-12-72
284,161,682,20,2020,https://doi.org/10.1186/s12889-020-08825-z
285,161,1021,12,2012,https://doi.org/10.1186/1471-2458-12-1021
286,160,271,19,2019,https://doi.org/10.1186/s12889-019-6513-y
287,160,976,16,2016,https://doi.org/10.1186/s12889-016-3622-8
288,159,1035,16,2016,https://doi.org/10.1186/s12889-016-3686-5
289,158,312,22,2022,https://doi.org/10.1186/s12889-022-12698-9
290,158,1292,20,2020,https://doi.org/10.1186/s12889-020-09392-z
291,158,143,14,2014,https://doi.org/10.1186/1471-2458-14-143
292,157,166,20,2020,https://doi.org/10.1186/s12889-020-8267-y
293,157,1030,13,2013,https://doi.org/10.1186/1471-2458-13-1030
294,157,912,12,2012,https://doi.org/10.1186/1471-2458-12-912
295,156,1551,19,2019,https://doi.org/10.1186/s12889-019-7683-3
296,156,206,18,2018,https://doi.org/10.1186/s12889-017-5005-1
297,156,142,12,2012,https://doi.org/10.1186/1471-2458-12-142
298,155,1337,19,2019,https://doi.org/10.1186/s12889-019-7713-1
299,155,1068,15,2015,https://doi.org/10.1186/s12889-015-2387-9
300,155,886,14,2014,https://doi.org/10.1186/1471-2458-14-886
301,154,506,24,2024,https://doi.org/10.1186/s12889-024-18036-5
302,154,880,17,2017,https://doi.org/10.1186/s12889-017-4888-1
303,154,768,15,2015,https://doi.org/10.1186/s12889-015-2082-x
304,154,522,14,2014,https://doi.org/10.1186/1471-2458-14-522
305,154,1190,13,2013,https://doi.org/10.1186/1471-2458-13-1190
306,153,197,19,2019,https://doi.org/10.1186/s12889-019-6515-9
307,153,792,18,2018,https://doi.org/10.1186/s12889-018-5699-8
308,153,31,15,2015,https://doi.org/10.1186/s12889-015-1423-0
309,153,484,14,2014,https://doi.org/10.1186/1471-2458-14-484
310,152,1360,18,2018,https://doi.org/10.1186/s12889-018-6268-x
311,151,1500,19,2019,https://doi.org/10.1186/s12889-019-7827-5
312,151,807,16,2016,https://doi.org/10.1186/s12889-016-3467-1
313,151,606,14,2014,https://doi.org/10.1186/1471-2458-14-606
314,151,447,14,2014,https://doi.org/10.1186/1471-2458-14-447
315,151,1234,13,2013,https://doi.org/10.1186/1471-2458-13-1234
316,151,179,13,2013,https://doi.org/10.1186/1471-2458-13-179
317,150,1014,21,2021,https://doi.org/10.1186/s12889-021-11019-w
318,150,422,17,2017,https://doi.org/10.1186/s12889-017-4314-8
319,150,679,12,2012,https://doi.org/10.1186/1471-2458-12-679
320,149,1247,16,2016,https://doi.org/10.1186/s12889-016-3985-x
321,149,1165,15,2015,https://doi.org/10.1186/s12889-015-2460-4
322,149,251,13,2013,https://doi.org/10.1186/1471-2458-13-251
323,148,1195,15,2015,https://doi.org/10.1186/s12889-015-2529-0
324,148,728,15,2015,https://doi.org/10.1186/s12889-015-2078-6
325,148,1310,14,2014,https://doi.org/10.1186/1471-2458-14-1310
326,148,94,14,2014,https://doi.org/10.1186/1471-2458-14-94
327,148,1158,13,2013,https://doi.org/10.1186/1471-2458-13-1158
328,147,906,19,2019,https://doi.org/10.1186/s12889-019-7118-1
329,147,869,18,2018,https://doi.org/10.1186/s12889-018-5677-1
330,147,160,17,2017,https://doi.org/10.1186/s12889-017-4071-8
331,147,1097,15,2015,https://doi.org/10.1186/s12889-015-2429-3
332,146,366,14,2014,https://doi.org/10.1186/1471-2458-14-366
333,146,483,13,2013,https://doi.org/10.1186/1471-2458-13-483
334,146,22,12,2012,https://doi.org/10.1186/1471-2458-12-22
335,145,1990,21,2021,https://doi.org/10.1186/s12889-021-12009-8
336,145,1093,18,2018,https://doi.org/10.1186/s12889-018-5999-z
337,145,250,18,2018,https://doi.org/10.1186/s12889-018-5170-x
338,145,944,17,2017,https://doi.org/10.1186/s12889-017-4958-4
339,145,285,16,2016,https://doi.org/10.1186/s12889-016-2953-9
340,145,596,14,2014,https://doi.org/10.1186/1471-2458-14-596
341,145,789,12,2012,https://doi.org/10.1186/1471-2458-12-789
342,144,265,20,2020,https://doi.org/10.1186/s12889-020-8331-7
343,144,976,17,2017,https://doi.org/10.1186/s12889-017-4970-8
344,144,S3,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s3
345,144,S23,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s23
346,143,1662,21,2021,https://doi.org/10.1186/s12889-021-11725-5
347,143,251,20,2020,https://doi.org/10.1186/s12889-020-8339-z
348,143,1116,13,2013,https://doi.org/10.1186/1471-2458-13-1116
349,142,879,20,2020,https://doi.org/10.1186/s12889-020-08964-3
350,142,812,20,2020,https://doi.org/10.1186/s12889-020-08951-8
351,142,577,18,2018,https://doi.org/10.1186/s12889-018-5485-7
352,142,166,18,2018,https://doi.org/10.1186/s12889-018-5054-0
353,142,236,17,2017,https://doi.org/10.1186/s12889-017-4137-7
354,142,227,16,2016,https://doi.org/10.1186/s12889-016-2882-7
355,142,173,16,2016,https://doi.org/10.1186/s12889-016-2843-1
356,142,94,15,2015,https://doi.org/10.1186/s12889-015-1442-x
357,141,596,16,2016,https://doi.org/10.1186/s12889-016-3267-7
358,141,794,15,2015,https://doi.org/10.1186/s12889-015-2150-2
359,141,463,13,2013,https://doi.org/10.1186/1471-2458-13-463
360,140,1366,18,2018,https://doi.org/10.1186/s12889-018-6262-3
361,140,286,16,2016,https://doi.org/10.1186/s12889-016-2941-0
362,140,1007,15,2015,https://doi.org/10.1186/s12889-015-2333-x
363,140,18,14,2014,https://doi.org/10.1186/1471-2458-14-18
364,140,1096,12,2012,https://doi.org/10.1186/1471-2458-12-1096
365,140,566,12,2012,https://doi.org/10.1186/1471-2458-12-566
366,140,463,12,2012,https://doi.org/10.1186/1471-2458-12-463
367,140,62,12,2012,https://doi.org/10.1186/1471-2458-12-62
368,139,955,21,2021,https://doi.org/10.1186/s12889-021-10987-3
369,139,964,17,2017,https://doi.org/10.1186/s12889-017-4937-9
370,139,290,15,2015,https://doi.org/10.1186/s12889-015-1584-x
371,139,1203,14,2014,https://doi.org/10.1186/1471-2458-14-1203
372,138,1096,20,2020,https://doi.org/10.1186/s12889-020-08881-5
373,138,12,19,2019,https://doi.org/10.1186/s12889-018-6344-2
374,138,1017,15,2015,https://doi.org/10.1186/s12889-015-2350-9
375,137,2015,22,2022,https://doi.org/10.1186/s12889-022-14403-2
376,137,1386,20,2020,https://doi.org/10.1186/s12889-020-09448-0
377,137,684,18,2018,https://doi.org/10.1186/s12889-018-5591-6
378,137,341,17,2017,https://doi.org/10.1186/s12889-017-4253-4
379,137,48,12,2012,https://doi.org/10.1186/1471-2458-12-48
380,136,466,21,2021,https://doi.org/10.1186/s12889-021-10500-w
381,136,912,20,2020,https://doi.org/10.1186/s12889-020-09049-x
382,135,425,21,2021,https://doi.org/10.1186/s12889-021-10470-z
383,135,724,16,2016,https://doi.org/10.1186/s12889-016-3428-8
384,135,568,16,2016,https://doi.org/10.1186/s12889-016-3245-0
385,135,73,16,2015,https://doi.org/10.1186/s12889-016-2736-3
386,135,400,15,2015,https://doi.org/10.1186/s12889-015-1720-7
387,135,1198,13,2013,https://doi.org/10.1186/1471-2458-13-1198
388,135,354,12,2012,https://doi.org/10.1186/1471-2458-12-354
389,134,684,21,2021,https://doi.org/10.1186/s12889-021-10643-w
390,134,900,19,2019,https://doi.org/10.1186/s12889-019-7030-8
391,134,196,17,2017,https://doi.org/10.1186/s12889-017-4112-3
392,134,434,15,2015,https://doi.org/10.1186/s12889-015-1796-0
393,134,1297,14,2014,https://doi.org/10.1186/1471-2458-14-1297
394,134,1281,14,2014,https://doi.org/10.1186/1471-2458-14-1281
395,134,863,14,2014,https://doi.org/10.1186/1471-2458-14-863
396,134,834,14,2014,https://doi.org/10.1186/1471-2458-14-834
397,134,657,14,2014,https://doi.org/10.1186/1471-2458-14-657
398,134,297,14,2014,https://doi.org/10.1186/1471-2458-14-297
399,134,474,12,2012,https://doi.org/10.1186/1471-2458-12-474
400,133,114,20,2020,https://doi.org/10.1186/s12889-020-8212-0
401,132,1382,22,2022,https://doi.org/10.1186/s12889-022-13759-9
402,132,1908,20,2020,https://doi.org/10.1186/s12889-020-09988-5
403,132,528,18,2018,https://doi.org/10.1186/s12889-018-5454-1
404,132,781,14,2014,https://doi.org/10.1186/1471-2458-14-781
405,132,523,13,2013,https://doi.org/10.1186/1471-2458-13-523
406,132,798,12,2012,https://doi.org/10.1186/1471-2458-12-798
407,131,954,21,2021,https://doi.org/10.1186/s12889-021-10935-1
408,131,1079,19,2019,https://doi.org/10.1186/s12889-019-7373-1
409,131,195,18,2018,https://doi.org/10.1186/s12889-018-5107-4
