rank,number_of_citations,article_number,volume,year,doi_link
32,548,643,14,2014,https://doi.org/10.1186/1471-2458-14-643
33,530,482,13,2013,https://doi.org/10.1186/1471-2458-13-482
34,518,1267,14,2014,https://doi.org/10.1186/1471-2458-14-1267
35,510,725,15,2015,https://doi.org/10.1186/s12889-015-1949-1
36,503,1229,13,2013,https://doi.org/10.1186/1471-2458-13-1229
37,502,1556,21,2021,https://doi.org/10.1186/s12889-021-11623-w
38,495,177,6,2006,https://doi.org/10.1186/1471-2458-6-177
39,494,401,21,2021,https://doi.org/10.1186/s12889-021-10429-0
40,492,333,14,2014,https://doi.org/10.1186/1471-2458-14-333
41,480,188,14,2014,https://doi.org/10.1186/1471-2458-14-188
42,479,53,7,2007,https://doi.org/10.1186/1471-2458-7-53
43,476,421,9,2009,https://doi.org/10.1186/1471-2458-9-421
44,476,200,8,2008,https://doi.org/10.1186/1471-2458-8-200
45,475,918,12,2012,https://doi.org/10.1186/1471-2458-12-918
46,471,1039,20,2020,https://doi.org/10.1186/s12889-020-08749-8
47,471,1,13,2013,https://doi.org/10.1186/1471-2458-13-1
48,463,33,9,2009,https://doi.org/10.1186/1471-2458-9-33
49,459,1255,14,2014,https://doi.org/10.1186/1471-2458-14-1255
50,456,86,5,2005,https://doi.org/10.1186/1471-2458-5-86
51,455,1742,20,2020,https://doi.org/10.1186/s12889-020-09826-8
52,453,874,17,2017,https://doi.org/10.1186/s12889-017-4859-6
53,452,415,15,2015,https://doi.org/10.1186/s12889-015-1733-2
54,452,1,12,2012,https://doi.org/10.1186/1471-2458-12-1
55,451,168,7,2007,https://doi.org/10.1186/1471-2458-7-168
56,449,565,20,2020,https://doi.org/10.1186/s12889-020-08498-8
57,446,756,13,2013,https://doi.org/10.1186/1471-2458-13-756
58,444,1431,19,2019,https://doi.org/10.1186/s12889-019-7762-5
59,432,80,16,2015,https://doi.org/10.1186/s12889-016-2747-0
60,431,1,15,2015,https://doi.org/10.1186/1471-2458-15-1
61,431,1144,14,2014,https://doi.org/10.1186/1471-2458-14-1144
62,418,683,17,2017,https://doi.org/10.1186/s12889-017-4691-z
63,413,115,16,2015,https://doi.org/10.1186/s12889-016-2720-y
64,409,1875,20,2020,https://doi.org/10.1186/s12889-020-09939-0
65,406,1,20,2020,https://doi.org/10.1186/s12889-019-7969-5
66,404,196,8,2008,https://doi.org/10.1186/1471-2458-8-196
67,399,773,13,2013,https://doi.org/10.1186/1471-2458-13-773
68,399,513.0,10,2010,https://doi.org/10.1186/1471-2458-10-513
69,397,347,8,2008,https://doi.org/10.1186/1471-2458-8-347
70,396,S15,11,2011,https://doi.org/10.1186/1471-2458-11-s3-s15
71,394,657,16,2016,https://doi.org/10.1186/s12889-016-3373-6
72,391,1158,16,2016,https://doi.org/10.1186/s12889-016-3808-0
73,390,1,14,2014,https://doi.org/10.1186/1471-2458-14-1
74,390,242.0,10,2010,https://doi.org/10.1186/1471-2458-10-242
75,388,285,9,2009,https://doi.org/10.1186/1471-2458-9-285
76,386,854,17,2017,https://doi.org/10.1186/s12889-017-4860-0
77,384,975,18,2018,https://doi.org/10.1186/s12889-018-5806-x
78,384,130,15,2015,https://doi.org/10.1186/s12889-015-1360-y
79,382,1825,20,2020,https://doi.org/10.1186/s12889-020-09875-z
80,382,129,15,2015,https://doi.org/10.1186/s12889-015-1352-y
81,380,53,14,2014,https://doi.org/10.1186/1471-2458-14-53
82,378,7,5,2005,https://doi.org/10.1186/1471-2458-5-7
83,375,804,21,2021,https://doi.org/10.1186/s12889-021-10816-7
84,375,564,11,2011,https://doi.org/10.1186/1471-2458-11-564
85,373,125,18,2018,https://doi.org/10.1186/s12889-017-5016-y
86,372,296,13,2013,https://doi.org/10.1186/1471-2458-13-296
87,371,74,19,2019,https://doi.org/10.1186/s12889-019-6424-y
88,368,575,11,2011,https://doi.org/10.1186/1471-2458-11-575
89,359,835,13,2013,https://doi.org/10.1186/1471-2458-13-835
90,354,231,19,2019,https://doi.org/10.1186/s12889-019-6546-2
91,351,487,11,2011,https://doi.org/10.1186/1471-2458-11-487
92,349,289,8,2008,https://doi.org/10.1186/1471-2458-8-289
93,348,1724,20,2020,https://doi.org/10.1186/s12889-020-09855-3
94,347,1327,20,2020,https://doi.org/10.1186/s12889-020-09411-z
95,346,1098,16,2016,https://doi.org/10.1186/s12889-016-3638-0
96,343,582,11,2011,https://doi.org/10.1186/1471-2458-11-582
97,342,2,11,2011,https://doi.org/10.1186/1471-2458-11-2
98,333,163,16,2016,https://doi.org/10.1186/s12889-016-2841-3
99,332,1015,21,2021,https://doi.org/10.1186/s12889-021-11111-1
100,332,1164,18,2018,https://doi.org/10.1186/s12889-018-6044-y
101,329,678,15,2015,https://doi.org/10.1186/s12889-015-2056-z
102,329,503,15,2015,https://doi.org/10.1186/s12889-015-1824-0
103,327,786,11,2011,https://doi.org/10.1186/1471-2458-11-786
104,325,847,13,2013,https://doi.org/10.1186/1471-2458-13-847
105,325,220,13,2013,https://doi.org/10.1186/1471-2458-13-220
106,324,220,12,2012,https://doi.org/10.1186/1471-2458-12-220
107,321,676,16,2016,https://doi.org/10.1186/s12889-016-3272-x
108,321,1,11,2011,https://doi.org/10.1186/1471-2458-11-1
109,320,742,15,2015,https://doi.org/10.1186/s12889-015-2109-3
110,319,149,6,2006,https://doi.org/10.1186/1471-2458-6-149
111,318,242,12,2012,https://doi.org/10.1186/1471-2458-12-242
112,317,818,21,2021,https://doi.org/10.1186/s12889-021-10862-1
113,317,475.0,10,2010,https://doi.org/10.1186/1471-2458-10-475
114,316,276,17,2017,https://doi.org/10.1186/s12889-017-4189-8
115,316,515,16,2016,https://doi.org/10.1186/s12889-016-3172-0
116,314,730,12,2012,https://doi.org/10.1186/1471-2458-12-730
117,311,299.0,10,2010,https://doi.org/10.1186/1471-2458-10-299
118,310,231.0,10,2010,https://doi.org/10.1186/1471-2458-10-231
119,310,450,9,2009,https://doi.org/10.1186/1471-2458-9-450
120,308,869,17,2017,https://doi.org/10.1186/s12889-017-4867-6
121,306,525,15,2015,https://doi.org/10.1186/s12889-015-1867-2
122,306,356,9,2009,https://doi.org/10.1186/1471-2458-9-356
123,305,147,14,2014,https://doi.org/10.1186/1471-2458-14-147
124,304,802,11,2011,https://doi.org/10.1186/1471-2458-11-802
125,304,14,9,2009,https://doi.org/10.1186/1471-2458-9-14
126,303,855,17,2017,https://doi.org/10.1186/s12889-017-4850-2
127,303,51,9,2009,https://doi.org/10.1186/1471-2458-9-51
128,301,233,14,2014,https://doi.org/10.1186/1471-2458-14-233
129,301,206,8,2008,https://doi.org/10.1186/1471-2458-8-206
130,299,1113,18,2018,https://doi.org/10.1186/s12889-018-5942-3
131,299,104,7,2007,https://doi.org/10.1186/1471-2458-7-104
132,298,258.0,10,2010,https://doi.org/10.1186/1471-2458-10-258
133,297,518,18,2018,https://doi.org/10.1186/s12889-018-5446-1
134,297,691,15,2015,https://doi.org/10.1186/s12889-015-1983-z
135,293,70,5,2005,https://doi.org/10.1186/1471-2458-5-70
136,292,244,11,2011,https://doi.org/10.1186/1471-2458-11-244
137,292,155,6,2006,https://doi.org/10.1186/1471-2458-6-155
138,291,316,19,2019,https://doi.org/10.1186/s12889-019-6576-9
139,290,611,21,2021,https://doi.org/10.1186/s12889-021-10560-y
140,290,465,9,2009,https://doi.org/10.1186/1471-2458-9-465
141,289,914,15,2015,https://doi.org/10.1186/s12889-015-2227-y
142,287,988,22,2022,https://doi.org/10.1186/s12889-022-13122-y
143,285,173,20,2020,https://doi.org/10.1186/s12889-020-8293-9
144,284,296,16,2016,https://doi.org/10.1186/s12889-016-2870-y
145,284,646,14,2014,https://doi.org/10.1186/1471-2458-14-646
146,283,292,14,2014,https://doi.org/10.1186/1471-2458-14-292
147,283,S8,14,2014,https://doi.org/10.1186/1471-2458-14-s3-s8
148,282,2088,21,2021,https://doi.org/10.1186/s12889-021-11906-2
149,281,457,15,2015,https://doi.org/10.1186/s12889-015-1781-7
150,280,1637,19,2019,https://doi.org/10.1186/s12889-019-7884-9
151,280,1015,13,2013,https://doi.org/10.1186/1471-2458-13-1015
152,279,66,15,2015,https://doi.org/10.1186/s12889-015-1429-7
153,279,305,13,2013,https://doi.org/10.1186/1471-2458-13-305
154,278,513,15,2015,https://doi.org/10.1186/s12889-015-1843-x
155,277,nan,11,2011,https://doi.org/10.1186/1471-2458-11-s4-s4
156,276,1778,22,2022,https://doi.org/10.1186/s12889-022-13943-x
157,275,961,21,2021,https://doi.org/10.1186/s12889-021-10961-z
158,275,1218,13,2013,https://doi.org/10.1186/1471-2458-13-1218
159,273,56.0,10,2010,https://doi.org/10.1186/1471-2458-10-56
160,272,292,11,2011,https://doi.org/10.1186/1471-2458-11-292
161,270,848,15,2015,https://doi.org/10.1186/s12889-015-2197-0
162,269,1,22,2022,https://doi.org/10.1186/s12889-021-12274-7
163,268,S20,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s20
164,268,255,6,2006,https://doi.org/10.1186/1471-2458-6-255
165,267,1,21,2021,https://doi.org/10.1186/s12889-020-10013-y
166,267,395,11,2011,https://doi.org/10.1186/1471-2458-11-395
167,267,nan,11,2011,https://doi.org/10.1186/1471-2458-11-s4-s3
168,267,538.0,10,2010,https://doi.org/10.1186/1471-2458-10-538
169,265,S12,11,2011,https://doi.org/10.1186/1471-2458-11-s3-s12
170,263,623,14,2014,https://doi.org/10.1186/1471-2458-14-623
171,263,624,12,2012,https://doi.org/10.1186/1471-2458-12-624
172,262,201,15,2015,https://doi.org/10.1186/s12889-015-1553-4
173,259,900,13,2013,https://doi.org/10.1186/1471-2458-13-900
174,259,101,11,2011,https://doi.org/10.1186/1471-2458-11-101
175,258,17,13,2013,https://doi.org/10.1186/1471-2458-13-17
176,257,868,17,2017,https://doi.org/10.1186/s12889-017-4849-8
177,256,479,11,2011,https://doi.org/10.1186/1471-2458-11-479
178,256,213,9,2009,https://doi.org/10.1186/1471-2458-9-213
179,255,807,12,2012,https://doi.org/10.1186/1471-2458-12-807
180,253,414,17,2017,https://doi.org/10.1186/s12889-017-4308-6
181,252,735,13,2013,https://doi.org/10.1186/1471-2458-13-735
182,252,82,13,2013,https://doi.org/10.1186/1471-2458-13-82
183,252,220,7,2007,https://doi.org/10.1186/1471-2458-7-220
184,251,505,15,2015,https://doi.org/10.1186/s12889-015-1835-x
185,251,388,13,2013,https://doi.org/10.1186/1471-2458-13-388
186,251,165,7,2007,https://doi.org/10.1186/1471-2458-7-165
187,250,118,15,2015,https://doi.org/10.1186/s12889-015-1483-1
188,249,361,17,2017,https://doi.org/10.1186/s12889-017-4267-y
189,249,751,14,2014,https://doi.org/10.1186/1471-2458-14-751
190,249,458,13,2013,https://doi.org/10.1186/1471-2458-13-458
191,248,1207,14,2014,https://doi.org/10.1186/1471-2458-14-1207
192,248,828,11,2011,https://doi.org/10.1186/1471-2458-11-828
193,247,341,9,2009,https://doi.org/10.1186/1471-2458-9-341
194,246,20.0,10,2010,https://doi.org/10.1186/1471-2458-10-20
195,245,1059,23,2023,https://doi.org/10.1186/s12889-023-15958-4
196,242,753,21,2021,https://doi.org/10.1186/s12889-021-10630-1
197,242,1138,20,2020,https://doi.org/10.1186/s12889-020-09224-0
198,241,1039,16,2016,https://doi.org/10.1186/s12889-016-3712-7
199,240,503,17,2017,https://doi.org/10.1186/s12889-017-4375-8
200,239,11,1,2001,https://doi.org/10.1186/1471-2458-1-11
201,238,356,17,2017,https://doi.org/10.1186/s12889-017-4255-2
202,237,1,18,2018,https://doi.org/10.1186/s12889-017-4524-0
203,236,776,15,2015,https://doi.org/10.1186/s12889-015-2008-7
204,234,14,14,2014,https://doi.org/10.1186/1471-2458-14-14
205,233,1072,13,2013,https://doi.org/10.1186/1471-2458-13-1072
206,233,184,9,2009,https://doi.org/10.1186/1471-2458-9-184
207,233,208,7,2007,https://doi.org/10.1186/1471-2458-7-208
208,230,187,11,2011,https://doi.org/10.1186/1471-2458-11-187
209,230,234,7,2007,https://doi.org/10.1186/1471-2458-7-234
210,230,32,3,2003,https://doi.org/10.1186/1471-2458-3-32
211,228,1376,18,2018,https://doi.org/10.1186/s12889-018-6293-9
212,226,150,13,2013,https://doi.org/10.1186/1471-2458-13-150
213,226,212,7,2007,https://doi.org/10.1186/1471-2458-7-212
214,225,135,14,2014,https://doi.org/10.1186/1471-2458-14-135
215,224,255,15,2015,https://doi.org/10.1186/s12889-015-1591-y
216,224,249,11,2011,https://doi.org/10.1186/1471-2458-11-249
217,222,1059,19,2019,https://doi.org/10.1186/s12889-019-7407-8
218,222,574,18,2018,https://doi.org/10.1186/s12889-018-5484-8
219,222,268,7,2007,https://doi.org/10.1186/1471-2458-7-268
220,220,704,12,2012,https://doi.org/10.1186/1471-2458-12-704
221,219,1524,19,2019,https://doi.org/10.1186/s12889-019-7904-9
222,219,689,17,2017,https://doi.org/10.1186/s12889-017-4695-8
223,219,943,14,2014,https://doi.org/10.1186/1471-2458-14-943
224,219,402,13,2013,https://doi.org/10.1186/1471-2458-13-402
225,219,S25,11,2011,https://doi.org/10.1186/1471-2458-11-s3-s25
226,218,89,7,2007,https://doi.org/10.1186/1471-2458-7-89
227,217,660,19,2019,https://doi.org/10.1186/s12889-019-6943-6
228,216,223,17,2017,https://doi.org/10.1186/s12889-017-4129-7
229,216,331,14,2014,https://doi.org/10.1186/1471-2458-14-331
230,216,355,8,2008,https://doi.org/10.1186/1471-2458-8-355
231,216,161,7,2007,https://doi.org/10.1186/1471-2458-7-161
232,215,8,19,2019,https://doi.org/10.1186/s12889-018-6274-z
233,214,1230,20,2020,https://doi.org/10.1186/s12889-020-09322-z
234,214,1414,18,2018,https://doi.org/10.1186/s12889-018-6331-7
235,213,1415,20,2020,https://doi.org/10.1186/s12889-020-09502-x
236,213,342,18,2018,https://doi.org/10.1186/s12889-018-5235-x
237,213,S19,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s19
238,212,1286,19,2019,https://doi.org/10.1186/s12889-019-7609-0
239,212,300,6,2006,https://doi.org/10.1186/1471-2458-6-300
240,212,9,4,2004,https://doi.org/10.1186/1471-2458-4-9
241,211,414.0,10,2010,https://doi.org/10.1186/1471-2458-10-414
242,210,1108,20,2020,https://doi.org/10.1186/s12889-020-09169-4
243,209,116,6,2006,https://doi.org/10.1186/1471-2458-6-116
244,208,1049,18,2018,https://doi.org/10.1186/s12889-018-5934-3
245,208,751,12,2012,https://doi.org/10.1186/1471-2458-12-751
246,207,96,22,2022,https://doi.org/10.1186/s12889-021-12432-x
247,207,1648,20,2020,https://doi.org/10.1186/s12889-020-09738-7
248,207,1,19,2019,https://doi.org/10.1186/s12889-018-6343-3
249,206,1040,20,2020,https://doi.org/10.1186/s12889-020-08991-0
250,206,907,17,2017,https://doi.org/10.1186/s12889-017-4914-3
251,206,723,12,2012,https://doi.org/10.1186/1471-2458-12-723
252,205,724,13,2013,https://doi.org/10.1186/1471-2458-13-724
253,205,494,12,2012,https://doi.org/10.1186/1471-2458-12-494
254,204,295,21,2021,https://doi.org/10.1186/s12889-021-10285-y
255,204,1247,19,2019,https://doi.org/10.1186/s12889-019-7566-7
256,204,382,14,2014,https://doi.org/10.1186/1471-2458-14-382
257,204,1180,13,2013,https://doi.org/10.1186/1471-2458-13-1180
258,203,880,22,2022,https://doi.org/10.1186/s12889-022-13256-z
259,203,432,18,2018,https://doi.org/10.1186/s12889-018-5335-7
260,203,201,12,2012,https://doi.org/10.1186/1471-2458-12-201
261,203,476.0,10,2010,https://doi.org/10.1186/1471-2458-10-476
262,202,40,17,2017,https://doi.org/10.1186/s12889-016-3986-9
263,202,675,16,2016,https://doi.org/10.1186/s12889-016-3352-y
264,202,993,12,2012,https://doi.org/10.1186/1471-2458-12-993
265,202,S23,11,2011,https://doi.org/10.1186/1471-2458-11-s3-s23
266,201,1054,19,2019,https://doi.org/10.1186/s12889-019-7387-8
267,201,337,12,2012,https://doi.org/10.1186/1471-2458-12-337
268,200,309,17,2017,https://doi.org/10.1186/s12889-017-4210-2
269,200,1,9,2009,https://doi.org/10.1186/1471-2458-9-1
270,200,67,5,2005,https://doi.org/10.1186/1471-2458-5-67
271,199,975,16,2016,https://doi.org/10.1186/s12889-016-3621-9
272,199,466,12,2012,https://doi.org/10.1186/1471-2458-12-466
273,199,125,8,2008,https://doi.org/10.1186/1471-2458-8-125
274,198,nan,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s1
275,198,247,6,2006,https://doi.org/10.1186/1471-2458-6-247
276,197,167,9,2009,https://doi.org/10.1186/1471-2458-9-167
277,197,59,6,2006,https://doi.org/10.1186/1471-2458-6-59
278,196,41,15,2015,https://doi.org/10.1186/s12889-015-1370-9
279,196,629,13,2013,https://doi.org/10.1186/1471-2458-13-629
280,196,nan,11,2011,https://doi.org/10.1186/1471-2458-11-s1-s7
281,196,107.0,10,2010,https://doi.org/10.1186/1471-2458-10-107
282,195,607,21,2021,https://doi.org/10.1186/s12889-021-10631-0
283,195,44,4,2004,https://doi.org/10.1186/1471-2458-4-44
284,194,726,20,2020,https://doi.org/10.1186/s12889-020-08715-4
285,193,700,14,2014,https://doi.org/10.1186/1471-2458-14-700
286,193,380,12,2012,https://doi.org/10.1186/1471-2458-12-380
287,192,1344,18,2018,https://doi.org/10.1186/s12889-018-6250-7
288,192,568,13,2013,https://doi.org/10.1186/1471-2458-13-568
289,192,168,9,2009,https://doi.org/10.1186/1471-2458-9-168
290,192,56,9,2009,https://doi.org/10.1186/1471-2458-9-56
291,191,89,21,2021,https://doi.org/10.1186/s12889-020-10103-x
292,189,806,14,2014,https://doi.org/10.1186/1471-2458-14-806
293,189,1.0,10,2010,https://doi.org/10.1186/1471-2458-10-1
294,189,304.0,10,2010,https://doi.org/10.1186/1471-2458-10-304
295,188,366,8,2008,https://doi.org/10.1186/1471-2458-8-366
296,187,701,13,2013,https://doi.org/10.1186/1471-2458-13-701
297,186,358,19,2019,https://doi.org/10.1186/s12889-019-6688-2
298,186,321,18,2018,https://doi.org/10.1186/s12889-018-5220-4
299,186,789,14,2014,https://doi.org/10.1186/1471-2458-14-789
300,186,29,4,2004,https://doi.org/10.1186/1471-2458-4-29
301,184,811,21,2021,https://doi.org/10.1186/s12889-021-10897-4
302,184,1751,20,2020,https://doi.org/10.1186/s12889-020-09892-y
303,184,829,17,2017,https://doi.org/10.1186/s12889-017-4854-y
304,184,53,15,2015,https://doi.org/10.1186/s12889-015-1391-4
305,184,686,14,2014,https://doi.org/10.1186/1471-2458-14-686
306,184,249,7,2007,https://doi.org/10.1186/1471-2458-7-249
307,183,987,18,2018,https://doi.org/10.1186/s12889-018-5932-5
308,183,654,17,2017,https://doi.org/10.1186/s12889-017-4623-y
309,183,583,17,2017,https://doi.org/10.1186/s12889-017-4497-z
310,183,920,13,2013,https://doi.org/10.1186/1471-2458-13-920
311,183,613,13,2013,https://doi.org/10.1186/1471-2458-13-613
312,183,718.0,10,2010,https://doi.org/10.1186/1471-2458-10-718
313,182,111,16,2016,https://doi.org/10.1186/s12889-016-2766-x
314,182,390,15,2015,https://doi.org/10.1186/s12889-015-1617-5
315,182,S24,11,2011,https://doi.org/10.1186/1471-2458-11-s3-s24
316,181,489,14,2014,https://doi.org/10.1186/1471-2458-14-489
317,181,161,14,2014,https://doi.org/10.1186/1471-2458-14-161
318,181,S13,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s13
319,181,577,12,2012,https://doi.org/10.1186/1471-2458-12-577
320,181,62.0,10,2010,https://doi.org/10.1186/1471-2458-10-62
321,181,240.0,10,2010,https://doi.org/10.1186/1471-2458-10-240
322,180,1712,19,2019,https://doi.org/10.1186/s12889-019-8029-x
323,180,S2,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s2
324,180,801,11,2011,https://doi.org/10.1186/1471-2458-11-801
325,178,1213,21,2021,https://doi.org/10.1186/s12889-021-11040-z
326,178,669,16,2016,https://doi.org/10.1186/s12889-016-3339-8
327,177,909,18,2018,https://doi.org/10.1186/s12889-018-5834-6
328,177,639,18,2018,https://doi.org/10.1186/s12889-018-5472-z
329,177,624,17,2017,https://doi.org/10.1186/s12889-017-4540-0
330,177,1030,14,2014,https://doi.org/10.1186/1471-2458-14-1030
331,177,221,8,2008,https://doi.org/10.1186/1471-2458-8-221
332,177,58,6,2006,https://doi.org/10.1186/1471-2458-6-58
333,176,1885,20,2020,https://doi.org/10.1186/s12889-020-09980-z
334,176,1596,20,2020,https://doi.org/10.1186/s12889-020-09639-9
335,176,1093,19,2019,https://doi.org/10.1186/s12889-019-7416-7
336,176,1118,14,2014,https://doi.org/10.1186/1471-2458-14-1118
337,176,940,13,2013,https://doi.org/10.1186/1471-2458-13-940
338,176,594,12,2012,https://doi.org/10.1186/1471-2458-12-594
339,176,323,8,2008,https://doi.org/10.1186/1471-2458-8-323
340,176,103,8,2008,https://doi.org/10.1186/1471-2458-8-103
341,175,778,18,2018,https://doi.org/10.1186/s12889-018-5653-9
342,175,453,16,2016,https://doi.org/10.1186/s12889-016-3110-1
343,175,767,15,2015,https://doi.org/10.1186/s12889-015-2106-6
344,175,387,9,2009,https://doi.org/10.1186/1471-2458-9-387
345,174,1310,19,2019,https://doi.org/10.1186/s12889-019-7707-z
346,174,1031,12,2012,https://doi.org/10.1186/1471-2458-12-1031
347,174,692,11,2011,https://doi.org/10.1186/1471-2458-11-692
348,174,381,8,2008,https://doi.org/10.1186/1471-2458-8-381
349,173,513,20,2020,https://doi.org/10.1186/s12889-020-08587-8
350,173,1089,15,2015,https://doi.org/10.1186/s12889-015-2426-6
351,173,239,15,2015,https://doi.org/10.1186/s12889-015-1552-5
352,173,694,14,2014,https://doi.org/10.1186/1471-2458-14-694
353,173,S18,13,2013,https://doi.org/10.1186/1471-2458-13-s3-s18
354,173,511,11,2011,https://doi.org/10.1186/1471-2458-11-511
355,172,832,19,2019,https://doi.org/10.1186/s12889-019-7136-z
356,172,983,17,2017,https://doi.org/10.1186/s12889-017-4987-z
357,172,1211,15,2015,https://doi.org/10.1186/s12889-015-2546-z
358,172,696,15,2015,https://doi.org/10.1186/s12889-015-2052-3
359,172,214.0,10,2010,https://doi.org/10.1186/1471-2458-10-214
360,172,81,7,2007,https://doi.org/10.1186/1471-2458-7-81
361,170,1589,20,2020,https://doi.org/10.1186/s12889-020-09695-1
362,170,1518,20,2020,https://doi.org/10.1186/s12889-020-09572-x
363,170,1095,14,2014,https://doi.org/10.1186/1471-2458-14-1095
364,170,52,13,2013,https://doi.org/10.1186/1471-2458-13-52
365,170,395,9,2009,https://doi.org/10.1186/1471-2458-9-395
366,170,117,9,2009,https://doi.org/10.1186/1471-2458-9-117
367,170,1,8,2008,https://doi.org/10.1186/1471-2458-8-1
368,169,1659,22,2022,https://doi.org/10.1186/s12889-022-13971-7
369,169,1255,20,2020,https://doi.org/10.1186/s12889-020-09323-y
370,169,636,19,2019,https://doi.org/10.1186/s12889-019-6877-z
371,169,1239,16,2016,https://doi.org/10.1186/s12889-016-3901-4
372,169,433,16,2016,https://doi.org/10.1186/s12889-016-3059-0
373,169,516,15,2015,https://doi.org/10.1186/s12889-015-1851-x
374,169,715,12,2012,https://doi.org/10.1186/1471-2458-12-715
375,169,15,11,2011,https://doi.org/10.1186/1471-2458-11-15
376,169,S5,11,2011,https://doi.org/10.1186/1471-2458-11-s1-s5
377,169,525.0,10,2010,https://doi.org/10.1186/1471-2458-10-525
378,168,755,19,2019,https://doi.org/10.1186/s12889-019-7049-x
379,168,1151,16,2016,https://doi.org/10.1186/s12889-016-3810-6
380,168,719,14,2014,https://doi.org/10.1186/1471-2458-14-719
381,168,16,13,2013,https://doi.org/10.1186/1471-2458-13-16
382,168,612.0,10,2010,https://doi.org/10.1186/1471-2458-10-612
383,168,284,6,2006,https://doi.org/10.1186/1471-2458-6-284
384,168,180,6,2006,https://doi.org/10.1186/1471-2458-6-180
385,167,919,18,2018,https://doi.org/10.1186/s12889-018-5861-3
386,167,849,17,2017,https://doi.org/10.1186/s12889-017-4851-1
387,167,1,17,2017,https://doi.org/10.1186/s12889-016-3954-4
388,167,464,13,2013,https://doi.org/10.1186/1471-2458-13-464
389,167,834,11,2011,https://doi.org/10.1186/1471-2458-11-834
390,167,34,9,2009,https://doi.org/10.1186/1471-2458-9-34
391,166,985,15,2015,https://doi.org/10.1186/s12889-015-2313-1
392,166,585,15,2015,https://doi.org/10.1186/s12889-015-1947-3
393,166,582,15,2015,https://doi.org/10.1186/s12889-015-1935-7
394,166,99,6,2006,https://doi.org/10.1186/1471-2458-6-99
395,165,880,15,2015,https://doi.org/10.1186/s12889-015-2206-3
396,165,1224,14,2014,https://doi.org/10.1186/1471-2458-14-1224
397,165,389,14,2014,https://doi.org/10.1186/1471-2458-14-389
398,165,1068,13,2013,https://doi.org/10.1186/1471-2458-13-1068
399,165,130,12,2012,https://doi.org/10.1186/1471-2458-12-130
400,164,765,18,2018,https://doi.org/10.1186/s12889-018-5695-z
401,164,301,12,2012,https://doi.org/10.1186/1471-2458-12-301
402,164,234.0,10,2010,https://doi.org/10.1186/1471-2458-10-234
403,164,771.0,10,2010,https://doi.org/10.1186/1471-2458-10-771
404,163,1596,22,2022,https://doi.org/10.1186/s12889-022-13887-2
405,163,209,22,2022,https://doi.org/10.1186/s12889-022-12590-6
406,163,1676,19,2019,https://doi.org/10.1186/s12889-019-8033-1
407,163,1002,18,2018,https://doi.org/10.1186/s12889-018-5930-7
408,163,632,18,2018,https://doi.org/10.1186/s12889-018-5526-2
409,163,614.0,10,2010,https://doi.org/10.1186/1471-2458-10-614
410,163,21,4,2004,https://doi.org/10.1186/1471-2458-4-21
